narrative,product,risk_label
called cancel credit card different time period day record acutal day contacted except today expressly asked cancel credit card two time talked representitive second phone call said information card cancelled said explaination would cancel card phone call supervisor said would look result phone call card still active phone call account specialist said would get card cancelled result last phone call representative said short handed would cancel card,credit_card,low
discover credit card longtime paid time always never late havent used year lie got notice saying closed called discover said needed reapply make sense wanted use could let know given chance closing account,credit_card,low
initiated fund transfer debit card transfer fund checking account wire initiated amount deducted card fund never made mybank called customer service provided automated number help contacted bank issued card could help refered back automated operator need money,credit_card,low
citi costco anywhere credit card recently received annual reward certificate redemption policy requires go costco warehouse redeem certificate someone else citi costco anywhere credit card also redeem certificate store way redeeming reward certificate expires explained citi family member underlying medical condition result see going costco store retail store year even vaccination asked citi would allow redeem certificate online purchase credit balance citi rep sympathetic insisted follow policy even admitted would visit costco store policy help costco citi maximize customer spending light pandemic refusal make reasonable accommodation outlined show firm put financial interest customer health financial wellbeing,credit_card,low
bank america unemployment fund let get money,credit_card,low
request appeal disagree outcome billing dispute amount charge posted account ive filed billing dispute amount reason dispute ive returned merchandise back merchant within return policy yet wasnt refunded reason return product ive purchased defective matrix item shipped via tracking delivered filing dispute via chase app thing system requested tracking information date item returned disclosed since havent received request additional information clearly show account notice letter section ive received letter stating dispute closed merchant favor due lack supporting information im asking chase reopen billing dispute consider document attached limited copy return request form indicating return address copy shipping label indicating recipient copy tracking information associated tracking kindly acknowledge supporting document attached credit back account kind regard,credit_card,low
customer chase credit card since around ex husband southwest freedom sapphire listed signor card one responsible paying ran plumbing company time accrued thousand point mile paid used usually weekly basis credit limit card ended taking control company card know closed balance removed user divorce recently filed bankruptcy access coordinated payment chase credit card never late missed payment damaged credit past year worked relentlessly since bought first home excellent payment history even difficult time ie divorce post divorce opened chase freedom card credit limit never missed payment late previous payment amount date listed went chase bank balance owed paid bringing balance due went store tried using card declined called customer service told account closed got home looked balance started making payment towards seen received email credit monitoring company saying chase marking account past due called customer service logged account saw fee charged chase made first minimum payment due closing non default account balance every month chase started charging late fee thursday balance paid month payment due date chase charged additional called customer service spoke id waived late fee agreement situation happening also statement accrued chase freedom unlimited reward point statement show redeemed applied account amount totaled credited total feel owe v chase handled situtation owed payment made reward credit fee waived especially due anything total due plus agreed interest since date card closed balance account reward credited including late fee covid chase also reporting credit bureau late situation right please help looking get fee resolved credit given owed intention never take responsibility amount owed chase bank loyal credible customer year,credit_card,high
chase freedom credit card opened closed company within month requested information regarding closure told due affiliate closing account closed account wrote chase executive office asked detail name affiliate either closed account told would provide information,credit_card,high
well fargo visa repeated occasion least four last several week attempted get copy monthly statement statement available online well fargo promised mail statement fax never arrive time say give day arrive via fax arrive even tried working local well fargo branch called behalf even provided fax number credit card department also avail thank help provide run option try work get u information requested,credit_card,low
purchased order amount credit card statement show spoken stated havent sent proper information charge wrong amount since,credit_card,low
currently credit card cpaitalone via walmart card year able use card past year contacted capitalone asked license due assuming fact gotten married time tried send via phone didnt work sent mail twice three time time call back waiting week get release card suspeneded account spent hour phone trying get resolved tried hour also talking representative able sign onto account via web pay bill getting nowhere keep getting send information able read back license sorry know looking short going nothing else informed today received info unable read unfair something new card year,credit_card,low
made purchase best buy never received statement went best buy inquire balance pay unfortunately closed indefinitely due tried navigate computer system denied called stuck phone system going around circle finally received statement received late course best buy citibank feel pay close late fee ive called several time explaining unwilling accept original payment due completely unfair,credit_card,medium
department sent money program usreliacard usreliacard program florida money since total amount card blocked http usbank reliacard cardholder service florida united state phone reliacard issued bank national association pursuant license mastercard registered trademark circle design trademark card would activate wait second card usually take business day card arrive told needed fax copy driver license bill provided full ssn number would take hour activated faxed document several time availed access fund family homeless one child back bill company know care already filed several complaint many manager care even one named laughing situation please something,credit_card,low
usaa failed credit account amount credit card ending original purchase merchandise amount per attached receipt dated amount return merchandise per attached receipt dated purchase return amount liability purchase return posted usaa posted credit amount merchandise return however usaa reversed credit amount issue remains proof return refund attached receipt refund account still due credit amount,credit_card,low
may concern charge debit card recognize tried calling company unable connect get review debit card statement fee charge need get statement thank,credit_card,low
several year ago took dollar cash advance loan jcpenny credit card called make full payment cash advance balance told possible pay amount option payoff entire credit card several year since took cash advanced loan balance drop insignificantly continues accrued interest,credit_card,low
reporting fraud government credit card account hacked different cash withdrawal totaling made dispute direct express company regarding fraud card took information said investigation almost month since happened act like care hard reach customer service took also made police report told fraud told contact de dragging foot care please help get money back thank much,credit_card,low
balance use card last week seeing minimum due month purchase balance made appeared statement date would payment due date made purchase week payed change today see account note saying need pay barclays money put account past due status account past due status owe nothing account paid balance took screenshot need owe nothing want report possibly others think barclays running scam credit bureau ruin people credit delicate time people credit report ruin see way since pandemic contacting agency report unfair practice never really major problem pandemic way thinking target payment scheme every time call phone line go dead number stored system recognize number guessing reason system blocking call getting patched speak anybody,credit_card,low
please see attached detailed account experienced amex forced arbitration time via messaging please check record also subpoenaing obtain information requested record chat received writing comment nutshell amex credit score keep repeatedly forcing pay money due wont approve purchase need make pay done three month row fact homeless small miracle honestly testament strong support system friend family member could asked amazing base needed everything amex put genius literally amex way instead contributing science helping humanity dead jail homeless specifically action get lucky happening people life willing support would happened question fact happened three month row incredibly criminal violation sec ethic international banking regulation feel purposeful negligence know wronged also know still precarious position better way get rid potential lawsuit bankrupting prosecution illegibly forcing insolvency currently happening despite best attempt wealthier ever please see attached using newfound wealth make sure amex see repercussion going allocate pay student loan however wait better use money,credit_card,high
accepted mo promo offer unknowingly forfeited grace period new purchase make new purchase charged fee renewal charged current finance charge immediately charge hit card matter pay statement balance full month charged day charge grace period seems like scam aware card promos still retain grace period charged interest pay minimum amount due month new charge incurred thankfully fund pay entire balance full saving immediately stopped using card seems like unfair business practice really immediately charged extremely high interest rate new purchase,credit_card,low
keep getting fraudalent transaction account try dispute transaction getting put hold hour call drop start whole process really spent yesterday never talked anyone phone help dispute,credit_card,low
purchased airline ticket foreign airline name flight scheduled depart received short notice flight canceled voucher issued could exchanged another flight within year expiration airline announced would longer fly usa making using alleged voucher impossible since must fly usa destination month customer care stopped taking call way reach attempted call multiple time learn redeem alleged voucher showing account several attempt reach filed dispute apple card shortly decided close claim favor airline stating merchant told provided credit voucher went explain voucher account operating anymore apple card rep help said unless new evidence nothing could done infuriated robbed almost company presumably helping siding merchant dishonest month passed airline website longer existence customer care number service publicized airline even paid worker shared apple card representative gave ridiculous response new evidence airline thousand hundred upon hundred complaint practice company promised back done frustrating middle pandemic job steady income make sick stomach deeply disappointed apple card heavily promoted product service everyone know converting competitor failed agree merchant provided solution website phone number airline even operating attached screenshots ongoing issue hope find someone help next step contacting medium shine light issue,credit_card,low
disappointed lowe synchrony bank every time get promotion like join purchase one statement matter amount date year today checking statement notice interest charge called customer service said interest charge unless pay late went time end call went back statement went see second page noticed really charging interest one account called back another member answer explained asked whey charging interest statement always pay time pay minimum payment pay late fee interest astonished said called recorded requested change one special promotion regular charge interest upset told need recorded request need speak supervisor transferred supervisor explained said put hold came back told mistake could give credit interest taking every month promotion account long time charging told right fault said felt sorry nothing could asked nothing said well give last two month told taking every month repeated sorry nothing first time mistake customer pay mistake bad know going use credit card thing lowe give support customer kind situation also called lowe said nothing need fix synchrony bank bank locate number put complain hey request synchrony band ask customer get contact synchrony bank put complain saw lot people put complain resolution bank,credit_card,medium
booked flight using chase credit card reward point received notification booked flight cancelled rebooked confirmation flight pm flight also cancelled submitted refund request responded following day informing submit request travel agency chase reward booked flight reached chase informed able issue airline credit chase informed wanted cash refund reach directly however since flight cancelled wanted full return chase credit card point want travel credit submitted u dot complaint regarding credit card reward point refund process received response talk travel agency want full refund point problem ask chase full point refund refer reach refer back chase,credit_card,low
noticed credit card opened closed name credit report disputed said accurate left credit score company involved contact account every time try call automated system ask information account small charge hurting credit score account unpaid set never received call email letter letting know delinquent would like account removed please company involved account number report account opened closed according account charged number appreciate help give best,credit_card,low
applied credit card flight application handed filled application handed back attendant placed seat watched remind since application date heard anything called customer service text instruction call b customer service called b spoke alerted application record concerned personal info belief attendant mishandled application misplaced lost anyone get seems like severe breach security flight departing would like take action protect account,credit_card,low
ive trying get contact someone helping collect unemployment fund prepaid card sent ive told need verify im confused everything needed still havent received anything,credit_card,low
contacted comenity regarding credit card payment late advised financial hardship due covid requested payment relief assistance program representative offered payment extension would notated account hardship still possibly make subject late fee declined requested specifically covid hardship representative rudely asked would able come minimum payment another month requested transferred immediately afterward still annoyed could bare speak another rep also gone several issue getting first online order placed rep kept making mistake kept call back instead sent online message advising issue dissatisfaction requested small courtesy refunded late fee finance charge paid card full minus amount late fee finance charge rather accept covid hardship possibly deal people responded agreement refund late fee finance charge amount finance fee realize difference requested remainder finance charge also refunded continued disappointment customer service received response stating would refunding remaining charge,credit_card,medium
wisconsin eppicard child support card closed without prior warning since since could use child support card keep calling calling eppicard customer service wisconsin child support local county child support agency one issue new card except eppicard answer matter long sit hold account closed even automated service hang,credit_card,low
opened business account b used card time total recently closed account explanation,credit_card,low
struggled pandemic however still made attempt make monthly payment even paid account pandemic time lowes found way attempt bring credit score decreasing credit even stated owed money account actually paid entire balance put delinquent state creditor respect customer even received information via mail email text matter regarding situation called lowes received email stating payment due prompted go online see mistake regarding owing payment saw decreased credit limit opinion guess cancelled account currently unemployed money receive wether state family friend pay toward bill lowes nerve monitoring someone credit decreasing credit limit think company assist people put debt guess stayed debt least would credit report creditor drastically decreased credit line pandemic help u protect u creditor want penalize needing assistance,credit_card,low
following application mortgage loan since received two prepaid credit card mail within week however apply worse yet name two different people clue addressed address lived almost year stranger name appears two case ffraudulent use credit report two company fraudulent applier tx prepared name bank reliacard prepared name contacted company yet concerned call activate card even made deposit know somehow attached bank account attempt make deposit card activated stop,credit_card,low
attempted contact credit customer service obtain credit balance refund waiting one hour twenty minute hold speak someone finally hung phone since account credit balance please issue credit bank account file account file routing number ending account number ending,credit_card,low
capital one sent late payment notice false information demand removed credit report,credit_card,low
want reopen complaint id received letter capital one stating closing dispute case provided information requested assistant vice president branch sent required information proof made payment proof capital one received payment keep insisting received required information repeatedly informed made payment via online bill pay bank sent letter asked paid check money send front back copy canceled check problem enough enough send proof know capital one made mistake see missing one payment might entry error consecutive month either fraud sticky finger far concerned,credit_card,low
recieved prepaid debit mastercard mail netspend bank included account number routing number along deposit agreement overdraft protection information request card know called number back option given activate card text message enter ssn could activate way way talk representative called sponsoring bank automatically transfered netspend gave option call reward program get ahold customer service agent transfer transfer netspend tell promotion opened bank account name sent debit card promotion,credit_card,high
charged without authorization requested mover mover showed hr late rental truck mover instead owner charged credit twice without permission couple hour later charged guy stopped answering call submitted dispute credit card company said charge correct credit company navy federal credit union,credit_card,low
reservation made hotel particular type room checkin completed went room room described attempt problem corrected went ignored hotel hotel corporate contacted regarding reservation guarantee advised hotel control one honoring guarantee dispute filed discover ruled stating signed however failed explain since hotel presenting undated checkin paperwork fraudulent combining document accepting signature accepting anything else,credit_card,low
dept labor employment sent issued bank reliacard unemployment claim never made,credit_card,low
hello update existing complaint currently chase forcing take check opposed ach make work see past claim working check really dont want go deposit receive worst part changed mailing address place reside usps apparently gave incorrect address asked idea check chase cooperating theft mistake theft,credit_card,low
recently received notice increased rate credit card chase penalty apr applies apr vary market based prime may apply penalty apr account fail make minimum payment date time due make payment u returned unpaid long penalty apr apply apply penalty apr either reason penalty apr could potentially remain effect indefinitely chase plansm fee fixed finance charge monthly fee amount eligible purchase transaction amount selected create chase plan chase plan fee determined time chase plan created remain chase plan paid full late payment fee return payment fee c penalty apr add prime rate determine penalty apr maximum apr variable apr based highest prime rate published money rate section wall street journal two business day weekend federal holiday statement closing date prime rate currently daily periodic rate additional information change chase plan fee chase plan fee calculated time plan created based amount purchase transaction amount selected create plan number billing period choose pay balance full factor monthly aggregate dollar amount chase plan fee disclosed activation chase plan penalty fee late payment fee return payment fee single violation type exceed however another violation type occurs within six monthly billing period charge maximum fee table late payment return payment fee exceed related minimum payment due description minimum payment found cardmember agreement rate fee table changed read follows minimum payment calculate minimum payment amount plus special payment obligation connection flexible financing offer require repayment balance number billing period plus larger total amount owe less sum new balance excluding flexible financing offer balance require special payment obligation ensure repayment balance number billing period plus periodic interest charge late fee billed statement minimum payment calculated getting started account mean amendment section within getting started account section cardmember agreement amended include reference penalty apr follows may change term agreement including apr fee time time may also add new term delete term apr term may also change without amendment example prime rate change penalty apr becomes applicable see variable apr penalty apr section responsibility amendment section within getting started account section cardmember agreement amended include reference delivery amendment follows ability make change agreement limited applicable law may communicate amendment agreement via mail email electronic mean included monthly billing statement permitted law important definition transaction section within important definition section cardmember agreement replaced clarify expand definition follows term mean transaction transaction treated cash advance transaction include limited following transaction extent accepted purchasing traveler check foreign currency money order wire transfer cryptocurrency similar digital virtual currency similar transaction purchasing lottery ticket casino gaming chip race track wager similar offline online betting transaction money transfer transaction transfer currency making payment using third party service including bill payment transaction made directly merchant service provider using card introduction using card section cardmember agreement amended follows use account following way account used personal family household purpose use account illegal purpose writing check uncollected fund agree may rely information provided u merchant applicable payment network categorize transaction purchase balance transfer cash advance chase plan section within using card section cardmember agreement updated follows transaction mean responsibility chase plansm eligible may use chase plan feature chase mobile app create recent eligible purchase transaction eligible amount chase plan balance set repayment term subject chase plan fee available offer select many billing period take pay chase plan balance full making regular payment monthly billing period billing period balance chase plan charged chase plan fee rather interest purchase apr eligible purchase transaction chase plan purchase least specified dollar amount may include certain purchase transaction transaction fee owed u including annual membership fee eligible amount chase plan portion account balance specified time time within chase plan experience cash advance balance transfer chase loan transaction eligible chase plan ability create chase plan balance based variety factor creditworthiness credit limit account behavior able create chase plan balance enroll debt management program account closed default chase plan balance account charge interest new purchase pay entire interest saving balance due date month discretion may make chase plan available may decline chase plan transaction reason paying u back period also called grace period purchase section within paying u back section cardmember agreement amended clarify definition follows important information mean responsibility period also called grace period purchase account period interest charged new purchase account period paid new balance interest saving balance shown recent billing statement due date time pay new balance interest saving balance shown recent billing statement due date time lose period charge interest purchase regain benefit period paying new balance interest saving balance due date time enter period interest charge purchase may still appear next billing statement reflects interest charged beginning billing cycle date payment prior billing statement received balance transfer check cash advance period balance paid full paying new balance interest saving balance due date time lose period new purchase account period charge interest new purchase account period charge interest purchase date purchase appear account new balance interest saving balance paid full detail calculate interest charge see interest charge section agreement avoid avoid section cardmember agreement amended include new section penalty apr follows avoid mean penalty apr fail make minimum payment date time due make payment u returned unpaid apply penalty apr higher apr would otherwise pay either reason penalty apr new transaction fail make minimum payment date time due make payment within day due date may apply penalty apr also may apply penalty apr make payment u returned unpaid either instance penalty apr apply new transaction apply penalty apr review account time time see reduction apr appropriate penalty apr outstanding balance new transaction receive minimum payment within day date time due also may apply penalty apr apply instance penalty apr apply existing balance account new transaction make six consecutive minimum payment due beginning first payment due apply penalty apr penalty apr longer apply make six consecutive minimum payment due beginning first payment due apply penalty apr penalty apr could remain effect indefinitely apply penalty apr review account time time see reduction apr appropriate amendment cardmember agreement change described notice amend cardmember agreement replace corresponding term currently apply term account described notice continue apply message service message give update information chase relationship email sent unmonitored mailbox go option contact u privacy important u see online security center learn protect information chase privacy operation tx chase co,credit_card,medium
bank send letter graduating secured card graduation credir line increase find fair good customer branch closed called said closing dont know happen scary customer service told might reopen isnt money,credit_card,low
submitted online prequalification system without impacting credit history capital one website however system obtained copy credit history without permission hard inquiry made authorized prequalification without impact history authorize application kindly ask remove hard inquiry,credit_card,low
filed complaint capital one multiple charge account make became aware charge called capital one explained make charge capital one investigated month reversed charge put money back account today tried make purchase credit card denied learn reversed charge called capital one spoke identified manager fraud department id explained reason reversed mention card possession time even though mentioned representative first time card told go get police report capital one communicated information date amount transaction follows,credit_card,low
yes contacted capital one getting payment deferred would nit work corona virus also plus going thru hardship need help,credit_card,low
would like assistance disputing charge outside day time period last year contacted working home ended paying several company connected several thousand dollar website related service attempted resolve directly refunded realizing one company affiliated led believe another gone business done research aware internet work home business nothing scam targeted ripped company misleading deceptive sale practice receive information attorney general knew could dispute credit card statute claim defense please help get someone bank america capable handling properly charge requesting assistance,credit_card,high
walmart credit card set automatic payment never missed working couple year card sold took auto payment called repeatedly try arrange auto pay kept telling call back kept telling check mail working road billed excessively missed payment spite repeated effort pay bill reinstitute auto pay damaged credit,credit_card,medium
ca nordstrom let know due pandemic covid might late payment told would reporting late payment still got late payment called back told call credit bureau take,credit_card,low
approximately eip deposited cashapp account bringing overall balance went back cashapp account around find remaining account even left house day let alone make sizable purchase tried contacting cashapp numerous time email avail phone number call like someone took money eip assistance give greatly appreciated,credit_card,low
end received physical letter searched online welcome bonus offer earn back spend purchase new card first month applied online however made goal waiting month without receiving offer tried contact customer service answer got offer provided application screenshots unfortunately gave advertisement promotion think unfair,credit_card,low
saw ad website called many good deal site reasonable price went site placed order gave card number purchase almost payment went noticed really quickly confirmation number thought maybe charge cardm immediately checked account card holder website sure enough went said payment hold immediately searched website check website scam website immediately called card holder customer line stop transaction immediately hold hr could get option cardholder account website cancel payment immediately froze card day went still trying get customer service waited finally got live person told issue said needed get ahold claim department said could stop payment transferred claim dept waited hr finally representative came online said line called wrong line know transferred asked claim number gave number angry point tried next day hold time exact problem time customer service agent hung waiting hour time went finally got claim department taking almost hr talk said would contact n two day never called back waited hour someone answered wanted card number security purpose asked another way verify card right pretended understand saying transferred line called wait another hour upset ca get know investigating claim process broke want money back never business,credit_card,low
recieved netspend prepaid debit card request card came mail already printed signed beiueve information used permission refer attachment netspend show submit information called asked ssn,credit_card,low
severely impacted financially tried calling credit card company chase regarding chase sapphire card bring interest rate lower due hardship willing provide assistance whatsoever need government assistance ensuring overpaying credit card company extremely high apr interest main motive get debt thanks,credit_card,low
received reliacard debit card supposedly u bank knowledge account u bank request card received initially tried calling cardholder service number came card could get connected real person discus issue could get passed computer interface without entering account personal information feel comfortable giving called customer service number u bank fact sheet came card waiting minute connected one u bank customer service representative customer service rep told u bank make card put name nothing reliacard offered connect reliacard customer service transferred another line new line rang time line went dead since want wait another minute talk another u bank representative decided try contact reliacard web site web site chat started chat told issue forwarded another site file complaint site required enter personal information feel comfortable pay dollar supposedly refundable left site contacted file complaint concern sending card request pit risk identity theft would like never send card request also concerned u bank seem allow name put card take responsibility issue associated card,credit_card,high
lowes closed business account warning reason account good standing,credit_card,low
balance transfer bofa last year set auto pay get card paid promotional period balance paid full time cancelled auto pay bank pulled another payment checking account created credit balance credit card called explained error provided routing account number told would reimbursed within business day friday called spent hour trying speak human time informed front line clerk supervisor transaction processed dispute could two billing cycle made whole acceptable gotten nowhere,credit_card,low
one applied credit card saks avenue capital one credit request affecting credit need help pliz,credit_card,low
extortion capital one forcing pay purchase never made criminal company hate people never ever get capital one visa card year loyal payment never ever late since got hacked nothing problem since got hacked card mailed back headquarters utah month ago still bill month card exist extortion capital one forcing pay purchase never made criminal company hate people never ever get capital one visa card year loyal payment never ever late since got hacked nothing problem since got hacked card mailed back headquarters utah month ago still bill month card exist,credit_card,low
paid double minimum payment month due date month paid nearly two week advance somehow take longer credit card lengthy amount time accept payment choose day log make payment get charged late fee checking account pay fee getting multiple insufficient fund charge keep trying pull money two week paid earlier due date charged late fee paid nearly two week early called customer service representative could help advice manage finance better hence pay near beginning month avoid late fee issue due date month payment processed closed credit card credit going absolutely plummet called customer service paid bill due date year show long ridiculous take process payment always try pay double minimum payment whole situation upsetting,credit_card,medium
cardholder credit card discover card merchant seller disputed amount xxxxus cardholder made line paid using discover card reservation charge charge emailed notice payment received reservation emailed seller agreement fee cancellation policy day notice government gave world wide notice air plane passenger may land enter line cardholder submitted cancellation notice seller non responsive cardholder line sent another notice seller non responsive cardholder line connect seller web site chat line receiving notice thanks message team offline contact back soon non responsive cardholder call explaining seller non responsive problem told seller would start credit contact seller cardholder line submit cancellation notice non responsive cardholder line send another cancellation notice seller non responsive cardholder explain discover card opening dispute card charge one amount dispute discover card resolved cardholder favor fund returned dispute asked credit voucher seller non responsive stated discover card please review cardholder provide dated response still disputing transaction please provide signed cardholder letter stating nature dispute completed fast track form remedy discover card failed communicate cardholder request file completed fast track form remedy chargeback dispute discover card resolved seller favor valid instructing cardholder pay discover stating cardholder knowing seller always completely non responsive regarding cardholder cancellation encourage work merchant discover card stated cardholder communicating seller dispute either cardholder review merchant dispute stated needed letter asked would work chargeback cardholder asked could respond sending letter stated deal originator dispute discover card cardholder send requested information discover card talked discover card receive letter anything send attempt resolve dispute favor cardholder fill completed fast track form remedy chargeback favor cardholder discover card hung cardholder discover card lack follow requested cardholder letter discover card hand plus filling fast track form resulted honoring cardholder dispute lead believe holding seller fund ready receive cardholder letter form chargeback discover card never sent never sent according discover card customer service last month cardholder line emailed request seller regarding refund information available needed attached pdf cardholder request cancellation attached pdf cardholder letter reiterating disputed,credit_card,low
