narrative,product,root_cause,regulatory_violation,consumer_harm,severity,recommended_action,key_phrases,confidence
victim possibly even fraudulent misinformation within transunion report denouncing affidavit assert command regulated produce physically counter fer federal law dispute accept facilitate request eithe,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
attentively review formal writ composed declaration proven complaint misinformation part deficient adequate current status fullness truth accuracy completeness timeliness documented ownership certifia,debt_collection,API Error,Unknown,Unknown,Unknown,Manual Review,,low
good day reading upon law governed finance debt collection practice start asking question via certified mail affidavit return receipt credit alledge creditor etc portfolio recovery associate sent noti,debt_collection,API Error,Unknown,Unknown,Unknown,Manual Review,,low
incident occurred another individual required car repair vehicle damage result individual represented parking illegally obstructing driveway person involved damage vehicle repaired prior relaying dama,debt_collection,API Error,Unknown,Unknown,Unknown,Manual Review,,low
reaching several account thing credit mine still able anything account since didnt get much help company went spoke brother attorney relationship company advised contact ftc please remove fraud accoun,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
im member problem previous preaching happened three im one collection agency name diversified adjustment appeared negative item credit file without notified give right dispute latter three credit bure,debt_collection,API Error,Unknown,Unknown,Unknown,Manual Review,,low
firstly law firm send threatening letter telling pay debt file lawsuit include information debt collector attachment ignore received letter filed lawsuit filing answer found another stipulation saying,debt_collection,API Error,Unknown,Unknown,Unknown,Manual Review,,low
trying get free transunion credit report due deceptive nature transunion website ended subscribing monthly credit reporting service list thing make especially deceptive text mention subscription price,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
home seized set sheriff sale time purchased title transferred month prior time begun communication loan servicer deed lieu make whole process easier less costly period moved home still access moved le,mortgages_and_loans,API Error,Unknown,Unknown,Unknown,Manual Review,,low
submitted experian deceased incorrect social security notified still corrected information experian credit score went experian ca get credit ca refi ca get loan interfere getting job ruining life even,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
complaint state encouragement federal state authoritites applied mortgage forebearance associated accomodations period three month due financial hardship response agreed make accomodation forbear coll,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
balance owed kind account actually noted charged account need let know actual reason balance showing record charge balance owed many time delayed reported credit report appears inaccurate misleading p,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
issue transunion credit reporting investigation fixed error report yet believe transunion taking sweet time fix report error im big victim theft issue past fraud account report due incident past burea,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
exercising right fair credit reporting act section request information item credit report home mortgage wish original source information reported including limited original contract signature,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
last s may concern victim identity theft identity thief used personal information without permission open account thus debt mine enclosed proof identity copy ftc identity theft report accordance fair ,credit_reporting,API Error,Unknown,Unknown,Unknown,Manual Review,,low
advised notice sent pursuant fair debt collection practice act usc sec letter sent jefferson capital system response listing credit report listing state opened account balance completely false never o,debt_collection,API Error,Unknown,Unknown,Unknown,Manual Review,,low
