narrative,product,predicted_risk,root_cause,consumer_harm,severity,explanation
sent dispute company already filed complaint cfpb pertaining matter please look complaint attached proper identifying document exact info credit report refusing investgate time turn cfpb job power mat,credit_reporting,high,Credit Dispute,financial,high,"The consumer reports repeated, documented attempts to dispute inaccurate information on their credit report, but the credit reporting agency refuses to investigate or respond—violating FCRA requirements and risking ongoing financial harm through denied credit, higher interest rates, or employment barriers. The pattern of non-response and disregard for CFPB involvement indicates systemic failure and elevated risk of sustained damage."
received packet paper company dated stated took loan creditor uplift called asked company known uplift stated company give vacation loan never took loan anything school car stated one payment made loa,debt_collection,medium,Fraudulent Debt,financial,medium,"The consumer reports being pursued for a debt they never incurred, which is causing financial harm through credit score damage and potential collection actions; however, there is no indication of immediate wage garnishment, legal judgment, or severe financial distress like bankruptcy, warranting a medium rather than high risk."
discover credit card longtime paid time always never late havent used year lie got notice saying closed called discover said needed reapply make sense wanted use could let know given chance closing ac,credit_card,medium,Account Closure,financial,medium,"The consumer experienced an unexpected, unexplained closure of a long-standing, in-good-standing credit card account, which may negatively impact their credit utilization ratio and credit history length—key factors in credit scoring. Although no immediate monetary loss is reported, the abrupt loss of available credit and potential credit score dip constitutes meaningful financial harm warranting medium risk classification."
fraudly charged checking account without approval relationship barclays money transferred without approval authorization fraudly charge range total amount called several time claim issue operator supe,retail_banking,medium,Unauthorized Transaction,financial,medium,"The consumer reports fraudulent charges and unauthorized money transfers from their checking account, indicating potential account compromise and direct financial loss. Although the bank was contacted multiple times, resolution failed and the supervisor terminated the call, suggesting inadequate escalation and increased risk of prolonged harm or further fraud."
equifax reporting incorrectly day late partial account number please see page attached credit report along copy driver license utility bill identification purpose bureau investigate complaint attached,credit_reporting,low,Credit Dispute,reputational,low,"The complaint involves an isolated instance of allegedly incorrect late reporting on a single account, with no indication of widespread inaccuracies, identity theft, or financial loss. The consumer provides supporting documentation and has already engaged the bureau, suggesting resolution is likely through standard dispute procedures."
hard inquiry report citibank na authorize ive tried everything get customer service phone please help,credit_reporting,low,Hard Inquiry,time-based,low,"The complaint reflects frustration with a hard inquiry and difficulty reaching customer service, but there is no indication of financial loss, identity theft, or systemic reporting error. Time-based inconvenience alone, without evidence of inaccurate reporting or adverse credit impact, constitutes low risk."
approved cash filed judgement amount principal balance cost two garnishment paycheck received applied mortgage loan preapproved amount able start looking home along many step taken able make cash offe,credit_reporting,medium,Judgment Reporting,financial,medium,"The consumer was denied a mortgage due to an inaccurate or unreleased judgment on their credit report, causing financial harm by delaying homeownership and requiring additional verification efforts. Although no direct monetary loss is cited, the impact on credit access and loan approval constitutes material financial risk."
account closed opened collection demandingi pay,debt_collection,high,Account Mismanagement,financial,high,"The complaint indicates a closed account was improperly reopened for collections, creating potential unauthorized debt liability and immediate financial risk to the consumer. This suggests systemic errors in account status verification, increasing likelihood of wrongful collection activity and credit damage."
cease desist dispute chase card service acct ending letter response phone call letter receiving according fair debt collection practice act usc section c ceasing communication must stop communication ,credit_card,high,Cease and Desist Violation,emotional,high,"The consumer explicitly invoked their right under the Fair Debt Collection Practices Act to cease all communication, yet Chase continued contacting them across multiple channels (home, work, cell), causing significant emotional distress and violating federal law. Repeated violations of a formal cease-and-desist request indicate systemic noncompliance and elevate risk of regulatory enforcement and consumer harm."
currently student began school graduated winter declared forbearance loan long possible noted company would attending school yet payment posted account school loan,mortgages_and_loans,medium,Loan Forbearance,financial,medium,"The consumer was placed in forbearance while enrolled in school, yet payments were still posted to their account, potentially causing unnecessary financial strain, late fees, or credit reporting issues. This reflects a failure in loan servicing communication and system alignment, which can erode trust and lead to compounding financial harm if uncorrected."
account usaa closed bad debt company called acct ending trying collect debt wrong according federal law,debt_collection,high,Wrongful Collection,financial,high,"The consumer reports being pursued for a debt on a closed account, potentially violating the Fair Debt Collection Practices Act (FDCPA) by attempting to collect a non-existent or discharged debt. This exposes the consumer to unwarranted financial liability, credit damage, and emotional distress, warranting immediate regulatory attention."
company sent information different state agency without consent knowledge learned employment data report also information sent without consent well also need sent equifax,credit_reporting,low,Unauthorized Disclosure,reputational,low,"The complaint alleges unauthorized sharing of employment data with a state agency and Equifax, but does not indicate financial loss, credit denial, identity theft, or demonstrable reputational damage; the consumer appears aware of the disclosures and is seeking correction rather than reporting harm."
texas equifax credit service dispute inquiry dear equifax credit service letter formal request remove unauthorized inquiry credit report also would like remove fraud alert credit report asap inquiry i,credit_reporting,low,Credit Dispute,time-based,low,"The complaint involves a routine dispute of an unauthorized credit inquiry and request to remove a fraud alert, both of which are standard, reversible actions under the FCRA; no evidence of financial loss, identity theft, or systemic harm is present."
never received copy contract company also reporting inaccurate balance,debt_collection,low,Inaccurate Reporting,financial,low,"The complaint involves an inaccurate balance reported by a debt collector and failure to provide a contract copy, but there is no indication of immediate financial loss, identity theft, or coercive practices. These issues are typically resolvable through standard dispute procedures under the FDCPA."
dear cfpb please find complaint sham conduit concealed owner reinstated different name via fictitious buyer default debt sell investor bet image someone data identity theft submitted application mortg,debt_collection,high,Identity Theft,financial,high,"The complaint alleges unauthorized use of the consumer's identity to originate a mortgage and sell debt, indicating potential financial loss, credit damage, and exposure to fraudulent liability. Such identity theft in debt collection contexts often leads to persistent credit reporting errors, unwarranted collection actions, and significant difficulty in remediation."
may concern writing dispute fraudulent charge account amount victim identity theft make authorize charge requesting charge removed finance charge related fraudulent amount credited well receive accura,credit_reporting,high,Identity Theft,financial,high,"The complaint describes unauthorized charges stemming from identity theft, with the consumer invoking the Fair Credit Billing Act and FCRA to demand correction—indicating potential ongoing financial liability, credit damage, and systemic failure to investigate or resolve fraud claims promptly."
american honda finance reported late pandemic worked hard keep payment deferment requested goodwill late update never late honda ignored feel receive goodwill update would like late fee deleted cant a,credit_reporting,medium,Credit Reporting,financial,medium,"The consumer faces financial harm due to an unjustified late fee and inaccurate credit reporting during a pandemic-related deferment, which could damage their credit score and increase borrowing costs; however, the account remains current and no severe consequences like collections or default have occurred yet."
credit report account belong idea account ended credit report victim idendetity theft fair becuase didnt authorize account inquiry,credit_reporting,low,Identity Theft,reputational,low,"The complaint indicates unauthorized account activity and a disputed inquiry on the credit report, but there's no mention of financial loss, denial of credit, or significant emotional distress; the issue appears limited to inaccurate reporting without evidence of broader harm."
trying buy food pet supply mattress online nothing working week order several order online declined saying need register card currently activated order new card thinking old card problem order new one,credit_card,medium,Card Activation,financial,medium,"The consumer is unable to complete essential purchases due to repeated card activation and verification failures, causing financial disruption and potential late fees or missed needs; while not involving fraud or identity theft, the persistent system error impedes basic financial functionality and requires significant effort to resolve."
past week charged dollar overdraft fee mainly transaction smaller dollar communicated td bank reduced work hour due unauthorized payment withdrawn account led balance unexpectedly low,retail_banking,medium,Overdraft Fees,financial,medium,"The consumer incurred repeated overdraft fees due to an unauthorized transaction and reduced income, causing unexpected financial strain; while not catastrophic, the cumulative fees and lack of timely notification or mitigation options represent significant but recoverable harm."
company taken longer resolve respond dispute credit report causing look responsible debt past statute limitation report fixing credit month company come put information report open account false state,credit_reporting,medium,Credit Dispute,financial,medium,"The consumer suffered financial harm due to credit denial for a vehicle purchase caused by erroneous, time-barred information remaining on their credit report; while not involving immediate monetary loss or identity theft, the prolonged failure to resolve the dispute under FCRA timelines impaired credit access and damaged reputation, warranting medium risk."
validation letter delivered certified mail kingston data credit day dont receive anything validate debt want cease collection activity dont want contact company anymore dont want reporting invalidated,debt_collection,low,Debt Validation,time-based,low,"The consumer is exercising their statutory right to request debt validation and cease communication, which is a routine procedural step in debt collection; no evidence of financial loss, emotional distress, or reputational damage is indicated."
purchased new vehicle traded old car owned payment due exact date payoff balance supposedly entered system sent payment statement via email say payment received previously entered issue everything tak,credit_reporting,medium,Credit Reporting,reputational,medium,"The consumer's credit report was inaccurately marked as late despite timely payment under pandemic-related accommodations, causing reputational harm through potential credit score damage. While no direct financial loss is stated, the error could affect future lending terms and reflects a systemic reporting failure that undermines trust in credit accuracy."
opened account u bank promotion signed online banking mobile banking service set direct deposit totaling within day would receive deposit account social security called set direct deposit informed dir,retail_banking,medium,Promotion Failure,financial,medium,"The consumer incurred overdraft fees due to the bank's failure to honor a time-sensitive promotional promise tied to direct deposit setup, causing quantifiable financial loss and repeated follow-up effort. While not involving identity theft or systemic fraud, the breach of a clear promotional obligation during a vulnerable period (pandemic-related delays) elevates the impact beyond minor inconvenience."
writing delete following information file item need deleted listed report victim identity theft make charge ask item deleted correct credit report reported theft identity federal trade commission also,credit_reporting,high,Identity Theft,financial,high,"The consumer is a verified victim of identity theft, with an FTC affidavit submitted, and the fraudulent item is actively impeding major life milestones—including home and auto financing—and affecting their child's well-being. Failure to promptly delete the item violates FCRA requirements and exacerbates financial harm."
keep getting fraudalent transaction account try dispute transaction getting put hold hour call drop start whole process really spent yesterday never talked anyone phone help dispute,credit_card,medium,Fraudulent Transactions,financial,medium,"The consumer is experiencing repeated fraudulent transactions on their credit card and faces significant barriers in disputing them—including dropped calls, repeated process restarts, and extended holds—leading to potential financial loss and delayed resolution. While no explicit evidence of irreversible harm (e.g., permanent credit damage or large unauthorized charges) is stated, the systemic failure in dispute handling elevates risk to medium."
mobile bank account bank called current got hacked contact added got tax return went check sent random person four separate payment payment guy named life new york reported company investigating wante,retail_banking,medium,Account Takeover,financial,medium,"The consumer suffered unauthorized transfers totaling multiple payments, including a tax refund diversion, resulting in direct financial loss and account lockdown; while funds may be recoverable, the delay and investigative uncertainty create material financial risk and operational disruption."
company charging interest unpaid medical bill decreasing credit score every month sent bill found looked credit score called representative informed interest account never contract regarding interest ,debt_collection,medium,Unauthorized Interest Charges,financial,medium,"The consumer alleges the debt collector is charging interest on a medical bill without a contractual basis, which may violate the Fair Debt Collection Practices Act and negatively impacts their credit score monthly. While not involving immediate financial loss like wage garnishment, the ongoing credit damage and lack of transparency constitute meaningful, escalating financial harm."
called creditor transunion get incorrect hard inquiry removed credit report first creditor told could help nothing inaccurate inquiry called back second time bounced around time eventually hung second,credit_reporting,low,Credit Dispute,time-based,low,"The complaint describes difficulty resolving an inaccurate hard inquiry through TransUnion, involving repeated calls and confusion, but no evidence of financial loss, identity theft, or adverse credit decisions; the issue is procedural and resolvable via standard dispute channels."
car loan bbva compass auto payment last month called today see obtain title since car finally paid last month tell auto pay bill first time month last payment paid phone never notified thing payment w,mortgages_and_loans,medium,Payment Processing,financial,medium,"The consumer fully paid off their auto loan but was incorrectly sent to collections due to a failure in stopping auto-pay as requested, risking credit damage and causing financial stress. Although no actual credit reporting is confirmed, the imminent threat to credit standing and potential fees justify medium risk."
noticed credit report reflecting late payment account account paid time month balance owed incorrect see enclosed documentation accordance federal fair credit reporting act fcra respectfully request i,credit_reporting,high,Credit Dispute,financial,high,"The consumer alleges an inaccurate late payment is harming their credit score, which can lead to denied credit, higher interest rates, and long-term financial damage; FCRA violations involving persistent inaccuracies pose significant regulatory and reputational risk to the credit bureau."
received letter demanding settlement attempted shake debt discharged chapter bankruptcy attempted contact entity validate matter unwillingly invalid due discharge afforded company trying perpetrate fr,debt_collection,high,Discharged Debt,financial,high,"The consumer states the debt was discharged in Chapter 7 bankruptcy, yet a collection agency is attempting to collect and misrepresenting its validity—constituting potential FDCPA violations and exposing the consumer to unwarranted financial pressure, credit damage, and tax-related risks during filing season."
believe american express may practicing predatory lending practice era covid canceling cc dont need day folk need fico promotional apr keep customer holy cow someone great fico never late payment peop,credit_card,medium,Predatory Lending,financial,medium,"The complaint alleges American Express engaged in predatory lending by canceling credit cards and withdrawing promotional APR offers during the COVID-19 pandemic, harming financially vulnerable consumers who relied on those lines of credit to supplement lost income. While no explicit fraud or illegal activity is confirmed, the timing and impact on credit-dependent individuals during an economic crisis elevate risk to medium."
wisconsin eppicard child support card closed without prior warning since since could use child support card keep calling calling eppicard customer service wisconsin child support local county child su,credit_card,medium,Account Closure,financial,medium,"The consumer lost access to child support funds without warning, creating immediate financial hardship; while not involving fraud or identity theft, the lack of notice and poor customer service impede timely resolution and essential income access."
submitted dispute credit bureau account name account number account closed account bureau also reporting twice report stating charged balance account mine disputed nothing decreased balance closed acc,credit_reporting,low,Credit Dispute,financial,low,"The complaint reflects a standard dispute over inaccurate reporting of a closed account, with no indication of fraud, identity theft, or ongoing financial loss; resolution typically involves verification and correction by the bureau without urgent harm."
first contacted ask one credit card base credit instructed go line fill application also told would attempt make inquiry three credit bureau credit worthiness intel sure card got alert experian indica,credit_reporting,medium,Unauthorized Credit Inquiry,reputational,medium,"The consumer alleges unauthorized hard inquiries were made without consent, resulting in a measurable drop in their credit score and potential reputational harm to their creditworthiness. While not involving direct financial loss or identity theft, the impact on credit standing and lack of responsive remediation from Experian elevate it to medium risk."
account placed collection agency offered pay old debt full removal credit report negative trade line preventing obtaining new apartment,debt_collection,low,Debt Collection,financial,low,"The complaint involves a standard debt collection practice—reporting an old debt—and the consumer's ability to negotiate pay-for-delete, which is not prohibited and carries no immediate financial loss or legal harm. The impact on apartment rental is situational and potentially remediable through credit education or dispute."
received bank statement boa account never opened contacted boa issue told account closed subject identify theft check credit report found boa account credit reporting agency boa also sent statement an,credit_reporting,high,Identity Theft,financial,high,"The consumer reports unauthorized bank accounts opened in both their own and their spouse's name, with soft inquiries from Bank of America appearing on credit reports—indicating potential fraudulent account openings. This poses immediate financial risk, including liability for unauthorized transactions and long-term credit damage."
subject violation truth lending act tila ref fcra fcba infringement chase pursuant subject reference cardmember service chase bank credit reporting company advised charge shown due credit history repo,credit_reporting,high,Credit Reporting,financial,high,"The consumer was charged for a petroleum product that was never delivered, yet the charge remains on their credit report despite multiple disputes and merchant confirmation of non-delivery; this risks ongoing financial harm through inaccurate credit scoring and potential denial of credit."
many issue regard identity stolen spoke equifax sent document required yet hear anything back nothing removed fixed personal life credit score hit extremely hard,credit_reporting,low,Identity Theft,financial,low,"The complaint describes identity theft impacting credit, but lacks evidence of ongoing fraud, unauthorized accounts, or immediate financial loss; the consumer reports Equifax received documentation and implies resolution is pending, suggesting procedural delay rather than systemic failure or acute harm."
authorize inquiry,credit_reporting,low,Unauthorized Inquiry,reputational,low,"The complaint involves a single unauthorized credit inquiry, which typically has minimal impact on credit scores and does not indicate identity theft or financial loss. Reputational harm is limited and easily remedied by disputing the inquiry with the credit bureau."
successfully discharged chapter bankruptcy back know credit terrible right bankruptcy credit report quite time auto loan soft inquiry approval clearly stated went banked year impression also soft inqu,credit_reporting,high,Credit Reporting Error,financial,high,"The consumer, recently discharged from Chapter 7 bankruptcy, suffered an immediate loan denial due to a misreported hard inquiry as a soft inquiry—damaging their already fragile credit profile and undermining post-bankruptcy financial recovery. The credit bureau refused to substantiate or correct the error despite clear evidence, exacerbating financial harm during a highly vulnerable period."
transunion credit reporting agency outdated information additional inquiry disputed complaint also want know supplied credit report business without consent even requested credit freeze,credit_reporting,low,Credit Report Error,reputational,low,"The complaint involves outdated information and an unauthorized inquiry, which are correctable inaccuracies under FCRA; no evidence of financial loss, identity theft, or systemic harm is present."
submitted request via email dovenmuehle forbearance accurately reported mortgage loan credit report followed dovenmuehle phone call told issue would resolved within business day one call day requested,mortgages_and_loans,medium,Forbearance Mismanagement,financial,medium,"The consumer was placed into forbearance without their knowledge or consent, potentially impacting their credit standing and financial obligations, and repeated follow-ups failed to resolve the issue or yield promised supervisor contact, indicating systemic communication and accountability failures."
sent separate letter asking company stop contacting purpose validating debt despite legal request company repeatedly contacted attempt collect debt via phone email call multiple time despite asking ph,debt_collection,high,Harassment,emotional,high,"The consumer explicitly requested debt validation and cessation of contact multiple times in writing, yet the collector persisted with repeated calls—including on different numbers—creating emotional distress and undermining legal protections under the FDCPA. This pattern indicates willful noncompliance and escalates risk of severe psychological harm."
duplicate previous complaint write letter complaint regarding concern issue home mortgage carrier well fargo home mortgage wf corresponded wf many time past month year issue still resolved attaching d,mortgages_and_loans,medium,Billing Error,financial,medium,"The complaint describes a persistent, unresolved discrepancy in the reported unpaid principal balance on a mortgage statement, which could lead to incorrect payments, potential late fees, or credit reporting errors; although no immediate financial loss is confirmed, the prolonged failure to correct a material billing error after repeated contact elevates risk to medium."
