narrative,product,cluster
may concern writing dispute fraudulent charge account amount victim identity theft make authorize charge requesting charge removed finance charge related fraudulent amount credited well receive accurate statement request made pursuant fair credit billing act amendment truth lending act see also b writing request method verification dispute initiated subsequent response received enclosed letter accordance fcra section requesting information review completeness accuracy appropriateness lieu sending information reopen dispute ensure proper investigation performed would appreciate timely response outlining step occur resolve matter receive response choice exercise right frca section pursue legal action open account acct opened balance account account acct opened balance account,credit_reporting,Identity Theft & Fraud
writing delete following information file item need deleted listed report victim identity theft make charge ask item deleted correct credit report reported theft identity federal trade commission also enclosed copy federal trade commission identity theft affidavit please delete item soon possible hindering trying advance life getting house car provide son,credit_reporting,Identity Theft & Fraud
noticed credit report reflecting late payment account account paid time month balance owed incorrect see enclosed documentation accordance federal fair credit reporting act fcra respectfully request immediately delete negative mark previously contacted creditor update record,credit_reporting,Other
received letter demanding settlement attempted shake debt discharged chapter bankruptcy attempted contact entity validate matter unwillingly invalid due discharge afforded company trying perpetrate fraud tax season common collection agency,debt_collection,Identity Theft & Fraud
received bank statement boa account never opened contacted boa issue told account closed subject identify theft check credit report found boa account credit reporting agency boa also sent statement another account wife name open account boa reviewed credit report see soft inquiry noted boa boa asked full name ssn address inform victim identity theft concern account boa showing credit report suspect two checking account called advantage safebalance account opened boa without wife approval requesting investigation matter boa using information provided mean suspect identity theft stated boa something else internal boa,credit_reporting,Identity Theft & Fraud
subject violation truth lending act tila ref fcra fcba infringement chase pursuant subject reference cardmember service chase bank credit reporting company advised charge shown due credit history report hereby purchased petroleum product chase credit card worth merchant promise delivery within business day payment see merchant declaration attached despite repeated attempt reach merchant business day received promised product till date filed multiple dispute chase bank merchant chase informed charge good delivered chase informed ask explanation along request clarification thus chase informed charge billing error fcba charge merchant chase gave temporary credit although dispute filed chase provide temporary credit charge see attached quoting fcba creditor fails follow settlement procedure may collect amount dispute related finance charge even bill turn although dispute filed chase provided resolution see attached thus quoting fcba creditor take two billing cycle resolve dispute penalty chase closed dispute illegaly without proof delivery b without transaction chargeslips thus transaction bound agreement c without merchant response merchant signed response shared despite refusal pay disputed amount chase failed accurately report think owe money despite fcba guideline chase failed share got report thus quoting fcba penalty also applies creditor improperly report failure pay dispute addition wall street reform consumer protection act regulation z tila state full investigation report shared including clarification concern raised cardholder law also prohibits explicit mandatory arbitration waiver consumer right however chase refused abide response refer attachment quoting ftc also sue creditor violates fcba win may awarded damage plus twice amount finance charge long higher amount pattern practice violation established court also may order creditor pay attorney fee attempt resolution responded delay attempt digress till date thus copy chronology event along pattern evidence visa dca federal guideline shared respective agency copy complaint outcome shared sec federal reserve board department justice monitoring regulation purpose constant touch respective authority reserve right,credit_reporting,Legal Action
successfully discharged chapter bankruptcy back know credit terrible right bankruptcy credit report quite time auto loan soft inquiry approval clearly stated went banked year impression also soft inquiry approval well include ssn anything led believe hard inquiry course due bankruptcy denied immediately received notification credit report took point hit tried calling dispute representative refused walk screen could show clear hard inquiry instead soft inquiry someone fresh bankruptcy everything rebuild credit get life back order point hit demoralizing especially one could easily avoided clear hard inquiry instead vague close credit score would moved next bracket,credit_reporting,Credit Damage
sent separate letter asking company stop contacting purpose validating debt despite legal request company repeatedly contacted attempt collect debt via phone email call multiple time despite asking phone mail stop contacting unless validate debt first letter sent company second letter sent company third letter sent company received following verified phone call time date company however several phone call also suspected company constantly call different number making difficult track far back phone history go everyone call occurred asked contacted constitute violation fair debt collection practice,debt_collection,FDCPA Violations
victim possibly even fraudulent misinformation within transunion report denouncing affidavit assert command regulated produce physically counter fer federal law dispute accept facilitate request either block minimum following unconfirmed fraudulent information credit record demand convinced mandated adequately evidence requisite precisely misinformation come take place even knowledge authorization writing entity might irrefutably responsible even factually received money good service result disputed misinformation inaccurate unverifiable invalid fraudulent information even possible identity theft hence utilzation manipulated identity victim complaint affidavit,credit_reporting,Identity Theft & Fraud
attentively review formal writ composed declaration proven complaint misinformation part deficient adequate current status fullness truth accuracy completeness timeliness documented ownership certifiable responsibility otherwise irrefutable complaint obligatory regulatory requisite reporting thereby mandating immediate action rectify remedy infraction behavior retaining returning demonstrate true correct complete complaint metro data field formatted reporting victim theft writing request block account disputed fraudulent credit report information relate transaction made give anyone authorization consent use personal information hereby exercise legal right enacted congress federal trade commission explicitly state victim dispute fraudulent account credit report shall honored credit bureau fraudulent information blocked within day proper notification shall given data furnishers pursuant section federal fair credit reporting act failure comply shall lead complaint filed better business bureau consumer financial protection bureau attorney general stating company unlawful collection practice misrepresentation creditworthiness defamation character noncompliance abide law enacted congress protect victim credit impacted act fraud know right fair credit reporting act consumer credit protection act ccpa fair accurate credit transaction act facta taking action also know right paragraph section facta law procedure enhance accuracy integrity information furnished consumer reporting agency b duty furnishers provide accurate information section fair credit reporting act amended subparagraph striking know consciously avoids knowing information inaccurate inserting know reasonable cause believe information inaccurate adding end following definition purpose subparagraph term cause believe information inaccurate mean specific knowledge solely allegation consumer would cause reasonable person substantial doubt accuracy information policy state according fair credit reporting act fcra procedure case disputed accuracy reinvestigation reinvestigation general subject subsection f completeness accuracy item information contained consumer file consumer agency disputed consumer consumer notifies agency directly indirectly reseller dispute free charge conduct reasonable reinvestigation determine whether disputed information inaccurate record current status disputed information delete item file accordance paragraph end period beginning date agency receives notice dispute consumer reseller therefore position clearly stated account belong meaning reporting inaccurate account information within credit file fact inaccurate account information mean agency reporting incorrect account finally reporting inquiry result type fraudulent activity must noted apply credit account company creditor result attempt open account company approve account therefore inquiry must deleted within credit file delete fraudulently opened account without also deleting fraudulent inquiry noted inquiry made factual record fraudulently opened account factual record referred creditor disputed directly credit reporting agency attempted address inquiry factual record file access done fraudulent mean factual record consumer required dispute fraudulent inquiry directly company inquiry result fraudulent activity therefore inaccurate credit reporting agency creditor verify meaning inquiry unverifiable information must deleted credit file caine weiner compa bal well aware right consumer fair credit reporting act requires agency report accurate correct account information within credit file credit issue specific account item belong mean reporting incorrect account information within credit report mind request listed account item blocked deleted according fair credit reporting act fcra section block information resulting identity theft except otherwise provided section consumer reporting shall block reporting information file consumer consumer identifies information resulted alleged identity theft later four business day date receipt agency appropriate proof identity consumer copy identity theft report identification information consumer statement consumer information relating transaction consumer provided listed four item within package therefore expect listed account deleted blocked within business day clearly identity theft issue also entitled receive free copy credit report requesting free credit report account public record item inquiry permanently blocked deleted enclosure identity theft report proof identity copy account statement showing fraudulent item ftc notice furnishers cc consumer financial protection bureau iowa cc xxxxxxxx fl cc xxxxxxxx fl cc fl cc attorney general office fl,debt_collection,Identity Theft & Fraud
good day reading upon law governed finance debt collection practice start asking question via certified mail affidavit return receipt credit alledge creditor etc portfolio recovery associate sent notice relative debt collection activity started query tghe course almost month sent several affidavit said company none affidavit answered provide absolutely evidential value whatsoever continue report false misleading information three major credit bureau also sent notice said company cease desist nothing happened portfolio recovery associate filed law suit county court georgia clear breach law governed activity please see affidavit attached complaint,debt_collection,Legal Action
incident occurred another individual required car repair vehicle damage result individual represented parking illegally obstructing driveway person involved damage vehicle repaired prior relaying damage falsely reported responsible accident even driver referred mailed two letter regarding outstanding amount providing email respond dispute occasion email advised false claim communication cease matter would need settled court received response acknowledgement email contacted organization named recovery partner outstanding debt since party involved committed fraud reporting incident entirely fault requested three separate distinct occasion cease contacting directed legal proceeding since owe anything car illegal parked driver need stop harassing follow legal process intimidate threaten damage credit,debt_collection,Identity Theft & Fraud
reaching several account thing credit mine still able anything account since didnt get much help company went spoke brother attorney relationship company advised contact ftc please remove fraud account credit immediately account also several bankruptcy credit called dist bankruptcy court stated data social security number regarding bankruptcy petition filing lady clerk office told call company called double check said thing record bankruptcy really want know world bankrupcies end credit showing equifax even possible even possible need answer already pandemic going helping mentally physically emotionally behalf need get brother lawyer advised reach first also address report mine,credit_reporting,Identity Theft & Fraud
im member problem previous preaching happened three im one collection agency name diversified adjustment appeared negative item credit file without notified give right dispute latter three credit bureau score went contacted agency stated violated right dispute called agency call went voice mail go name quality insurance since didnt get latter call feel violated right dispute,debt_collection,Other
firstly law firm send threatening letter telling pay debt file lawsuit include information debt collector attachment ignore received letter filed lawsuit filing answer found another stipulation saying apparently spoke agreed payment plan speak nobody company violation fdcpa committed court fraud requested validation debt never received answer find attached certified receipt,debt_collection,Identity Theft & Fraud
trying get free transunion credit report due deceptive nature transunion website ended subscribing monthly credit reporting service list thing make especially deceptive text mention subscription price small homepage look like typical legal copy call action button homepage read yes show score hint subscription service even purchase confirmation page break fee charge showing information extremely common pattern nearly digital purchasing platform belief intentionally left user know subscribing service nowhere website mention actual free credit report consumer disclosure done search found many people fallen subscription trap,credit_reporting,Other
home seized set sheriff sale time purchased title transferred month prior time begun communication loan servicer deed lieu make whole process easier less costly period moved home still access moved left lot item attic ground floor intended either sell donate instead able get two friend live temporarily told time move attended item attic ground floor considerable left quite mess behind clean removed item cleaned house broom clean loan servicer kept saying needed qualify deed lieu program continuance effort work loan servicer let inside house appraiser could get good look place accurate appraisal amount would otherwise available end served give info would otherwise working next title review came back saying single lien house inaccurate since lien noted dismissed previous bankruptcy filed continuing helpful effort towards deed lieu drove mile roundtrip go u bankruptcy court get certified copy judgment releasing lien drove local parish court filed mortgage record cancelled lien loan servicer furtherance effort facilitate deed lieu plus told would qualify fact deed lieu finally friday sheriff sale running errand helping servicer clearing title getting accurate valuation home house spic span advised deed lieu rejected objection necessarily fact laid info needed silver platter servicer make best informed decision bottom line property go deed lieu v sheriff sale information could eat would info would probably gone deed lieu least given closer look objection even decency offer recompense time effort effect used information gave zero effort feel least reimbursed effort cost filing complaint,mortgages_and_loans,Legal Action
submitted experian deceased incorrect social security notified still corrected information experian credit score went experian ca get credit ca refi ca get loan interfere getting job ruining life even though identity proof life made clear social security administration moving fix experian record keeping accuracy obviously wrong else wrong given fact ssa still move fix please need credit life back thank,credit_reporting,Credit Damage
complaint state encouragement federal state authoritites applied mortgage forebearance associated accomodations period three month due financial hardship response agreed make accomodation forbear collection payment agreed accept double payment automatically withdrawn checking account month lieu normal deadline month nevertheless direct violation agreement reported deliquent paymentsfor despite timely payment negligent report made trans union credit rating agency,credit_reporting,Credit Damage
balance owed kind account actually noted charged account need let know actual reason balance showing record charge balance owed many time delayed reported credit report appears inaccurate misleading please make sure supply proof claimed account fact overdue important guideline able adequately learn allegation balance owed many time delayed accounted credit report seems inaccurate misleading possible provide fact supposed account fact delayed got needed technique make sure correctly analyze claim balance owed account standing lately reporting credit record severely unwanted relation personal option attain permission get present loan application please hesitate provide proof reported perfectly documented fair credit reporting act guideline serious problem,credit_reporting,Other
issue transunion credit reporting investigation fixed error report yet believe transunion taking sweet time fix report error im big victim theft issue past fraud account report due incident past bureau fixed error quick fast timely manner pursuant fcra law odd reason account fraudulent still lingering report even appropriate time frame transunion removed whats going need handled affecting livelihood smh went got notary proof directing dispute investigation yall must handle please job block fraud account listed extra sheet ftc affidavit,credit_reporting,Identity Theft & Fraud
exercising right fair credit reporting act section request information item credit report home mortgage wish original source information reported including limited original contract signature,credit_reporting,Other
last s may concern victim identity theft identity thief used personal information without permission open account thus debt mine enclosed proof identity copy ftc identity theft report accordance fair debt collection practice act asking stop collection proceeding stop communicating debt except fair credit reporting act allows following item belong result fraud authorize opened opened opened enclosed copy notice furnishers information explains responsibility fair credit reporting act fcra fcra requires debt collector give identity theft victim document related account victim asks please send copy record relating account including account application made paper online telephone account statement invoice record payment charge slip delivery address associated account record phone number used activate access account signature application account investigator report please send letter explaining done inform business account opened debt result identity theft stop collection proceeding stop reporting information debt credit reporting company provide record request thank cooperation,credit_reporting,Identity Theft & Fraud
advised notice sent pursuant fair debt collection practice act usc sec letter sent jefferson capital system response listing credit report listing state opened account balance completely false never opened account anyone owe debt debt mine debt relation never took credit relation purported debt contract instrument bearing signature therefore jefferson capital system attempting collect debt account level documentation showing owe proof owe debt demand immediately jefferson capital system correct erroneous report past debt mine ask jefferson capital system provide following information cfpb please show evidence authorization usc e usc f alleged matter authorization law collection information authorization law collection alleged debt please show evidence alleged debt including specifically alleged contract instrument bearing signature id assure youre correct consumer please provide complete account history including charge added collection activity jefferson capital system failure respond point writing hand signed timely manner work waiver claim matter entitle presume jefferson capital system placed credit report error matter permanently closed proof none exists correct record remove invalid debt source reported contract purchase home invalid incorrect erroneous listing preventing moving forward building dream home causing distress emotionally physically,debt_collection,FDCPA Violations
